id,collection,dspace.entity.type,nrcan.sponsor.code,nrcan.sponsor.program[en],nrcan.sponsor.program[fr],dc.title[en],dc.title[fr],nrcan.sponsor.url[en],nrcan.sponsor.url[fr]
+,123456789s/21,Sponsor,RR8000,Public Safety Geoscience,Géoscience pour la sécurité publique,National Guidelines for Natural Hazard Assessment and Mitigation,Lignes directrices nationales sur l'évaluation et la réduction des risques naturels,http://www.nrcan.gc.ca/earth-sciences/resources/federal-prog rams/public-safety-geoscience/10911,http://www.rncan.gc.ca/sciences-terre/ressources/programmes- federaux/programme-geoscience-securite-publique/10912
+,123456789s/21,Sponsor,SAFE,Sedimentology of Arctic Fiords Experiment,L'expérience de la sédimentologie des fiords arctiques,,,,
+,123456789s/21,Sponsor,SO1001,Offshore Geoscience,Géoscience en mer,Program management,Gestionnaire de programme,,
+,123456789s/21,Sponsor,SO1002,Offshore Geoscience,Géoscience en mer,Basin Analysis and Resource Geoscience,Analyse de bassin et ressources géoscientifiques,,
+,123456789s/21,Sponsor,SO1003,Offshore Geoscience,Géoscience en mer,Geoscience for East Coast Offshore Developments,La géoscience pour les développements extracôtiers de la côte est,,
+,123456789s/21,Sponsor,SO1004,Offshore Geoscience,Géoscience en mer,Offshore Renewable Energy,Énergie renouvelable offshore,,
+,123456789s/21,Sponsor,SO1005,Offshore Geoscience,Géoscience en mer,Marine Geoscience for Arctic Economic Development,Géoscience marine pour le développement économique de l'Arctique,,
+,123456789s/21,Sponsor,SO1006,Offshore Geoscience,Géoscience en mer,Ocean Management Geoscience,Géoscience de la gestion des océans,,
+,123456789s/21,Sponsor,SO1007,Offshore Geoscience,Géoscience en mer,Data and Technology services in support of the Offshore Geoscience Program,Services de données et de technologie à l'appui du programme géoscientifique en mer,,
+,123456789s/21,Sponsor,SO1008,Offshore Geoscience,Géoscience en mer,Geoscience East Coast,Géoscience de la côte Est,,
+,123456789s/21,Sponsor,SO1009,Offshore Geoscience,Géoscience en mer,Marine Geo Arctic,Marine Géo Arctique,,
