id,collection,dspace.entity.type,dc.title[en],dc.title[fr],nrcan.area.source
+,123456789s/18,Area,Beckett Creek Bird Sanctuary,Refuge d'oiseaux de Beckett Creek,geo names db
+,123456789s/18,Area,Qausuittuq National Park of Canada,Parc national Qausuittuq du Canada,geo names db
+,123456789s/18,Area,Kouchibouguac National Park of Canada,Parc national du Canada Kouchibouguac,geo names db
+,123456789s/18,Area,Butler's Barracks National Historic Site of Canada,Lieu historique national du Canada des Casernes-de-Butler,geo names db
+,123456789s/18,Area,Hannah Bay Bird Sanctuary,Refuge d'oiseaux migrateurs de la Baie Hannah,geo names db
+,123456789s/18,Area,Wye Marsh National Wildlife Area,Réserve nationale de faune du Marais-Wye,geo names db
+,123456789s/18,Area,Wellers Bay National Wildlife Area,Réserve nationale de faune de la Baie-Wellers,geo names db
+,123456789s/18,Area,St. Clair National Wildlife Area,Réserve nationale de faune de Sainte-Claire,geo names db
+,123456789s/18,Area,Scotch Bonnet Island National Wildlife Area,Réserve nationale de faune de l'île-Scotch-Bonnet,geo names db
+,123456789s/18,Area,Prince Edward Point National Wildlife Area,Réserve nationale de faune de la Pointe-Prince-Edward,geo names db
+,123456789s/18,Area,Mohawk Island National Wildlife Area,Réserve nationale de faune de l'île-Mohawk,geo names db
+,123456789s/18,Area,Mississippi Lake National Wildlife Area,Réserve nationale de faune du Lac-Mississippi,geo names db
+,123456789s/18,Area,Long Point National Wildlife Area,Réserve nationale de faune de Long Point,geo names db
+,123456789s/18,Area,Eleanor Island National Wildlife Area,Réserve nationale de faune de l'île-Eleanor,geo names db
+,123456789s/18,Area,Big Creek National Wildlife Area,Réserve nationale de faune du ruisseau Big Creek,geo names db
+,123456789s/18,Area,Boundary Lakes,Lacs de la Frontière,geo names db
+,123456789s/18,Area,Cypress Hills Massacre National Historic Site of Canada,Lieu historique national du Canada du Massacre de Cypress Hills,geo names db
+,123456789s/18,Area,Beaubassin National Historic Site of Canada,Lieu historique national du Canada de Beaubassin,geo names db
+,123456789s/18,Area,Canso Islands National Historic Site of Canada,Lieu historique national du Canada des îles-Canso,geo names db
+,123456789s/18,Area,de la République Provincial Park,Parc provincial de la République,geo names db
+,123456789s/18,Area,Beaubears Island Shipbuilding National Historic Site of Canada,Lieu historique national du Canada de la Construction-Navale-à-l'île-Beaubears,geo names db
+,123456789s/18,Area,Trinity Anglican Church National Historic Site of Canada,Lieu historique national du Canada de l'Église-Anglicane-Trinity,geo names db
